公司名称,主营业务,公司地址,注册资本,公司简介,固定电话,法定代表人,经理手机,电子邮件,获取报价,邮政编码,法人名称,简称,主要经营产品,经营范围,营业执照号码,发证机关,经营状态,经营模式,成立时间,职员人数,公司官网,所属分类,类型
中国石化胜利油田有限公司技术检测中心, 能源检测，计量测试研究，工程建设质量监督，环境评价，监测，研究，锅炉压力容器及劳动保护用品检验，各项...,北一路６２号 - ,1648(万元) (万元),中国石化胜利油田有限公司技术检测中心，办公室地址位于军事家孙武的故里东营，北一路６２号，我公司主要提供能源检测，计量测试研究，工程建设质量监督，环境评价，监测，研究，锅炉压力容器及劳动保护用品检验，各项标准信息咨询，油田用设备检测，安全教育培训，安全评价，油田产品质量检验。,(0546)8558652 未核实，仅供参考,,,,让卖家联系我,257000,中国石化胜利油田有限公司技术检测中心,中国石化胜利油田,能源检测，计量测试研究，工程建设质量监督，环境评价，监测，研究，锅炉压力容器及劳动保护用品检验，各项标准信息咨询，油田用设备检测，安全教育培训，安全评价，油田产品质量检验。,未知,,,在业,,1991年1月14日,484人,,天然原油和天然气开采,
胜利油田方圆科工贸有限责任公司化工分公司, 聚丙烯酰胺干粉，压井液，酸化液，磺化酚醛树脂生产销售，修井作业及技术服务,井下作业公司 - ,198(万元) (万元),胜利油田方圆科工贸有限责任公司化工分公司，办公室地址位于军事家孙武的故里东营，井下作业公司，我公司主要提供聚丙烯酰胺干粉，压井液，酸化液，磺化酚醛树脂生产销售，修井作业及技术服务,(0546)8747293 未核实，仅供参考,,,,让卖家联系我,257000,胜利油田方圆科工贸有限责任公司化工分公司,胜利油田方圆科工贸,聚丙烯酰胺干粉，压井液，酸化液，磺化酚醛树脂生产销售，修井作业及技术服务,未知,,,在业,,2001年4月23日,117人,,天然原油和天然气开采,
胜利油田东润科贸有限责任公司, 石油开采技术、油气技术服务；机电产品、低压电器、装饰材料、化工产品、劳保用品、油井用节能产品销售。,东营区济宁路东首 - ,60(万元) (万元),胜利油田东润科贸有限责任公司，办公室地址位于军事家孙武的故里东营，东营区济宁路东首，我公司主要提供石油开采技术、油气技术服务；机电产品、低压电器、装饰材料、化工产品、劳保用品、油井用节能产品销售。,(0546)8225707 未核实，仅供参考,,,,让卖家联系我,257068,胜利油田东润科贸有限责任公司,胜利油田东润科贸,石油开采技术、油气技术服务；机电产品、低压电器、装饰材料、化工产品、劳保用品、油井用节能产品销售。,未知,,,在业,,2002年11月11日,8人,,天然原油和天然气开采,
中国石化胜利油田有限公司采油工艺研究院, 油田开发过程中新工艺、新技术、新产品的研究开发、技术服务与技术咨询，橡胶制品、防砂器材、石英砂、计算...,西三路１８８号 - ,4250(万元) (万元),中国石化胜利油田有限公司采油工艺研究院，办公室地址位于军事家孙武的故里东营，西三路１８８号，我公司主要提供油田开发过程中新工艺、新技术、新产品的研究开发、技术服务与技术咨询，橡胶制品、防砂器材、石英砂、计算机软件开发、机械加工。,(0546)8557246 未核实，仅供参考,,,,让卖家联系我,257000,中国石化胜利油田有限公司采油工艺研究院,中国石化胜利油田,油田开发过程中新工艺、新技术、新产品的研究开发、技术服务与技术咨询，橡胶制品、防砂器材、石英砂、计算机软件开发、机械加工。,未知,,,在业,,1992年10月19日,580人,,天然原油和天然气开采,
辽宁油田物资产品经销有限公司, 石油，成品油，液化气批发，化工原料，金属材料,沈阳市沈北新区海王街1号 - ,3000 万人民币 (万元),辽宁油田物资产品经销有限公司隶属于长春众诚投资发展集团，长春众诚投资发展集团创建于1993年，是国内大的以石油炼制、化工产品、车用燃油、燃气经销为主营业务的民营企业， 市场分布在黑龙江、吉林 、辽宁、河南、河北、北京、天津、外蒙古国及朝鲜国等地。 公司资产总额约46亿元，有年加工能力70万吨炼油厂一座， 库容总量38万立方米的成品油储存库5座，连锁加油站114座、加气站14座，年成品油销量达220万吨，所有经营项目合计年销售收入突破180亿元 。目前，已经争取到了年加工能力达300万吨的前郭炼油厂生产装置，计划利用三年时间，使炼油厂达到年处理500万吨原油的生产能力. 公司建立了以服务为核心的企业文化，以向“顾客提供服务”为宗旨”，并建立了顾客导向推进会，以“永远留住顾客”为目标，以“让顾客满意、让顾客高兴”为工作标准，以的服务推动企业发展壮大，在市场经济激烈竞争的形势下，不断解决企业内部管理制度与顾客导向服务理念可能发生的矛盾，逐渐形成以顾客为导向，以为顾客提供服务为推动的管理体系。 公司建立了全员绩效考核机制和员工晋升机制，为员工创造了多样化的发展空间与平台。公司为所有员工提供食宿及五险一金。,024-89604415 未核实，仅供参考,,,357998261@qq.com,让卖家联系我,110013,辽宁油田物资产品经销有限公司,油田物资产品经销,石油，成品油，液化气批发，化工原料，金属材料,化工原料（不含化学危险品）、金属材料、建材、机电产品、农副产品批发、零售；信息咨询（不含中介）；汽油、煤油、柴油批发；易燃液体批发；汽车租赁；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动。,9.12E+17,沈阳市沈北新区市场监督管理局,存续,,1998年12月8日,100人,,天然原油和天然气开采,有限责任公司(自然人投资或控股)
天津大港油田集团工程建设有限责任公司, 化工石油工程、市政公用工程、工业与民用建筑管道工程,天津市滨海新区大港建白路116号,39405.120123万人民币 (万元),天津大港油田集团工程建设有限责任公司，办公室地址位于环渤海地区经济中心天津，天津市滨海新区大港建白路116号，我公司主要提供化工石油工程、市政公用工程、工业与民用建筑、管道工程、防腐保温工程、送变电工程、地基与基础工程施工；工程勘察设计；承包与其实力、规模、业绩相适应的对外承包工程项目，并派遣实施上述对外承包工程项目所需的劳务人员；浅海海洋工程结构与设备的陆上预制和安装；建筑材料、混凝土预制构件、防腐保温产品制造与加工；...,022-25938454 未核实，仅供参考,,,liuhongli0726@sina.com,让卖家联系我,300280,天津大港油田集团工程建设有限责任公司,大港油田集团工程建设,化工石油工程、市政公用工程、工业与民用建筑管道工程,化工石油工程、市政公用工程、工业与民用建筑、管道工程、防腐保温工程、送变电工程、地基与基础工程施工；工程勘察设计；承包与其实力、规模、业绩相适应的对外承包工程项目，并派遣实施上述对外承包工程项目所需的劳务人员；浅海海洋工程结构与设备的陆上预制和安装；建筑材料、混凝土预制构件、防腐保温产品制造与加工；...,1.20E+14,天津市滨海新区市场监督管理局,存续,,1991年9月26日,1200人,,天然原油和天然气开采,公司
巨涛油田服务（天津）有限公司, 石油、化工工程设施安装调试、修缮及相关的设备开发、设计、加工、销售。,天津市塘沽海洋高新技术开发区 - ,1000万港币 (万元),巨涛海洋石油服务有限公司（“巨涛”）是一家在石油天然气行业，为客户提供技术领先的石油天然气装备、海洋工程制造、技术支持服务，以及在船舶工业和民用建筑工程领域，为客户提供的工程承包和专业技术服务的综合提供商。巨涛成立于1995年，并于2006年成功在在香港交易所主板上市（股票简称：巨涛海洋石油服务，股份代号：03303）。 巨涛油田服务（天津）有限公司为集团旗下的子公司。主要以海洋、陆地油气工艺设备设计，建造及海上石油平台维修改造服务为主,(022)25204946 未核实，仅供参考,,,zhaokai@jutal.com,让卖家联系我,300450,巨涛油田服务（天津）有限公司,巨涛油田服务,石油、化工工程设施安装调试、修缮及相关的设备开发、设计、加工、销售。,石油、化工工程设施安装调试、修缮及相关的设备开发、设计、加工、销售，劳务服务，自有设备租赁，机械设备修理 石油勘探开发新型仪器设备、天然气设施、海洋石油平台等设计、制造、调试、维修；从事机械、电气、船舶设备及配件，仪器仪表，金属制品的批发、进出口及其相关配套业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91120116749124697D,天津滨海高新技术产业开发区市场监督管理局,存续,,2003年6月2日,50人,http://www.jutal.com,天然原油和天然气开采,有限责任公司(外国法人独资)
库车依西克里克油田, 采售石油,地址： 依西克里克矿区,24(万元) (万元),库车依西克里克油田，办公室地址位于塞外江南的阿克苏，依西克里克矿区，我单位主要提供采售石油,(0997)7129806 未核实，仅供参考,,,,让卖家联系我,842000,库车依西克里克油田,库车依西克里克油田,采售石油,未知,,,在业,,1994年8月5日,20人,,天然原油和天然气开采,
库车县德利油田技术开发有限责任公司, 石油技术服务，石油钻采设备工具及配件，销售,新疆维吾尔自治区阿克苏地区库车县天山路５０４号,300(万元) (万元),库车县德利油田技术开发有限责任公司，办公室地址位于塞外江南的阿克苏，新疆维吾尔自治区阿克苏地区库车县天山路５０４号，我公司主要提供石油技术服务，石油钻采设备工具及配件，销售,(0997)7320975 未核实，仅供参考,,,,让卖家联系我,842000,库车县德利油田技术开发有限责任公司,德利油田技术开发,石油技术服务，石油钻采设备工具及配件，销售,未知,,,在业,,2003年5月26日,20人,,天然原油和天然气开采,
中国石化胜利油田有限公司孤东采油厂, 石油天然气开采，液化气生产，石油机械加工，维修、石油机械设备安装，货物运输。,河口区仙河镇 - ,2962(万元) (万元),欢迎来到中国石化胜利油田有限公司孤东采油厂，一家自1990年01月11日起就在军事家孙武的故里东营扎根的天然原油和天然气开采制造业企业。坐落于河口区仙河镇，我们以石油天然气开采，液化气生产，石油机械加工，维修、石油机械设备安装，货物运输为核心业务，注册资本达2962(万元)，成立以来，中国石化胜利油田已有34年的发展历程。我公司不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 带领着一支由和经验丰富的11163名工程师组成的团队，致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0546)8581976 未核实，仅供参考,,,,让卖家联系我,257237,中国石化胜利油田有限公司孤东采油厂,中国石化胜利油田,石油天然气开采，液化气生产，石油机械加工，维修、石油机械设备安装，货物运输。,未知,,,在业,,1990年1月11日,11163人,,天然原油和天然气开采,
中国石油新疆油田分公司勘探开发研究院, 石油勘探开发研究，计算机服务，印刷，岩石流体理化分析，外文翻译。,准噶尔路３２号 - ,成立时间：2000-01-10,中国石油新疆油田分公司勘探开发研究院，办公室地址位于新中国成立后勘探开发的第一个大油田克拉玛依，准噶尔路３２号，我公司主要提供石油勘探开发研究，计算机服务，印刷，岩石流体理化分析，外文翻译。,(0990)6881728 未核实，仅供参考,,,,让卖家联系我,834000,中国石油新疆油田分公司勘探开发研究院,中国石油新疆油田分公司勘探开发研究院,石油勘探开发研究，计算机服务，印刷，岩石流体理化分析，外文翻译。,未知,,,在业,,2000年1月10日,1324人,,天然原油和天然气开采,
盘锦市庆联油田工程技术服务有限公司, 油气田勘探，开发，新技术开发，咨询，服务，石油工具,兴隆台区渤海乡裴家村 - ,500 万人民币 (万元),盘锦市庆联油田工程技术服务有限公司坐落在辽宁省盘锦市兴隆台区渤海乡裴家村，占地面积15000m2，公司创建于2001年，注册资金1000万元，固定资产5000多万元。是集油田开发方案编制、实用技术开发、生产和技术服务于一体的私营所有制企业。现有员工80人，其中，教授级工程师5人，工程师3人，助理工程师5人，技术工人11人。,,,13324272122 未核实，仅供参考，删除号码,211100003060675@lnpost.cn,让卖家联系我,124010,盘锦市庆联油田工程技术服务有限公司,庆联油田工程技术服务,油气田勘探，开发，新技术开发，咨询，服务，石油工具,油气田新技术开发、咨询、服务；石油工具、钻采配件研制、生产、销售；技术服务、咨询；油田化学工程（不含易燃易爆及危险品），井下作业；油田助剂（除易燃易爆及化学危险品）生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动。,9.12E+17,盘锦市市场监督管理局,存续,,2001年4月24日,,http://www,天然原油和天然气开采,有限责任公司(自然人投资或控股)
辽河油田联营采油设备厂, 远红外自控石油加热器，采油工艺 代工产品,地址： 渤海街,,欢迎来到辽河油田联营采油设备厂，一家自起就在河蟹第一市（盘锦）扎根的天然原油和天然气开采制造业企业。坐落于渤海街，我们以远红外自控石油加热器，采油工艺 代工产品为核心业务，成立以来，辽河油田联营采油设备我工厂不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0427)7812369 未核实，仅供参考,,,,让卖家联系我,124011,辽河油田联营采油设备厂,辽河油田联营采油设备,远红外自控石油加热器，采油工艺 代工产品,未知,,,在业,,,,,天然原油和天然气开采,
吉林省油田管理局第二钻井工程公司, 石油开采,松江路１０号 - ,,吉林省油田管理局第二钻井工程公司成立于，位于中国北方经济增长四小龙的松原。我们是一家专注于石油开采领域的工程企业，,,,,,,,,,,,,,,,,,,,
油田管理局第二钻井工程公司，经验丰富的名工程师团队，共同促进松原工程建设事业的繁荣发展。,(0438)6227109 未核实，仅供参考,,,,让卖家联系我,131100,吉林省油田管理局第二钻井工程公司,油田管理局第二钻井工程公司,石油开采,未知,,,在业,,,,,天然原油和天然气开采,,,,,
吉林省油田管理局扶余采油二厂, 原油生产,地址： 工农街,,欢迎来到吉林省油田管理局扶余采油二厂，一家自起就在中国北方经济增长四小龙的松原扎根的天然原油和天然气开采制造业企业。坐落于工农街，我们以原油生产为核心业务，成立以来，油田管理局扶余采油二我工厂不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0438)6344343 未核实，仅供参考,,,,让卖家联系我,131200,吉林省油田管理局扶余采油二厂,油田管理局扶余采油二,原油生产,未知,,,在业,,,,,天然原油和天然气开采,
吉林省油田管理局钻采工艺研究院, 钻井、采油技术研究,地址： 长宁北街,,吉林省油田管理局钻采工艺研究院，办公室地址位于中国北方经济增长四小龙的松原，长宁北街，我单位主要提供钻井、采油技术研究,(0438)6336962 未核实，仅供参考,,,,让卖家联系我,131200,吉林省油田管理局钻采工艺研究院,油田管理局钻采工艺研究院,钻井、采油技术研究,未知,,,在业,,,,,天然原油和天然气开采,
汪清县龙腾能源开发有限公司, 油母页岩矿山开采,汪清县罗子沟镇 - ,成立时间：2003-07-07,汪清县龙腾能源开发有限公司，办公室地址位于中国大的朝鲜族聚集地--延边，汪清县罗子沟镇，我公司主要提供油母页岩矿山开采、炼油、发电、建材、稀贵金属提取；民族艺术装饰用品、民族建筑装饰用品生产销售,0433-8486888 未核实，仅供参考,,,wqlongteng@163.com,让卖家联系我,133216,汪清县龙腾能源开发有限公司,龙腾能源开发,油母页岩矿山开采,油母页岩矿山开采、炼油、发电、建材、稀贵金属提取；民族艺术装饰用品、民族建筑装饰用品生产销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2.22E+14,汪清县市场监督管理局,存续,,2003年7月7日,3000人,,天然原油和天然气开采,公司
